Order Date,Ship Mode,Customer Name,Segment,State,Category,Sub-Category,Sales,Quantity,Profit,LenCust
6/12/2016,First Class,Steven Cartwright,Consumer,Delaware,Office Supplies,Storage,226.56,6,63.4368,17
6/12/2016,First Class,Steven Cartwright,Consumer,Delaware,Office Supplies,Envelopes,115.02,9,51.759,17
6/12/2016,First Class,Steven Cartwright,Consumer,Delaware,Technology,Phones,68.04,7,19.7316,17
12/26/2014,Second Class,Alan Dominguez,Home Office,Texas,Furniture,Chairs,600.558,3,-8.5794,14
9/20/2014,Standard Class,Philip Fox,Consumer,Illinois,Furniture,Tables,617.7,6,-407.682,10
11/5/2017,Standard Class,Troy Staebel,Consumer,Arizona,Office Supplies,Binders,2.388,2,-1.8308,12
11/5/2017,Standard Class,Troy Staebel,Consumer,Arizona,Office Supplies,Storage,243.992,7,30.499,12
11/6/2016,Second Class,Lindsay Shagiari,Home Office,California,Furniture,Chairs,81.424,2,-9.1602,16
11/6/2016,Second Class,Lindsay Shagiari,Home Office,California,Furniture,Furnishings,238.56,3,26.2416,16
2/2/2017,First Class,Dorothy Wardle,Corporate,Ohio,Technology,Phones,59.97,5,-11.994,14
2/2/2017,First Class,Dorothy Wardle,Corporate,Ohio,Office Supplies,Paper,78.304,2,29.364,14
2/2/2017,First Class,Dorothy Wardle,Corporate,Ohio,Office Supplies,Fasteners,21.456,9,6.9732,14
10/13/2016,Standard Class,Lena Creighton,Consumer,California,Office Supplies,Paper,20.04,3,9.6192,14
10/13/2016,Standard Class,Lena Creighton,Consumer,California,Office Supplies,Paper,35.44,1,16.6568,14
10/13/2016,Standard Class,Lena Creighton,Consumer,California,Office Supplies,Art,11.52,4,3.456,14
10/13/2016,Standard Class,Lena Creighton,Consumer,California,Office Supplies,Fasteners,4.02,2,1.9698,14
10/13/2016,Standard Class,Lena Creighton,Consumer,California,Office Supplies,Binders,76.176,3,26.6616,14
10/13/2016,Standard Class,Lena Creighton,Consumer,California,Office Supplies,Supplies,65.88,6,18.4464,14
10/13/2016,Standard Class,Lena Creighton,Consumer,California,Furniture,Furnishings,43.12,14,20.6976,14
9/5/2016,Second Class,Jonathan Doherty,Corporate,Pennsylvania,Furniture,Furnishings,82.8,2,10.35,16
9/18/2017,Standard Class,Sally Hughsby,Corporate,California,Office Supplies,Art,8.82,3,2.3814,13
9/18/2017,Standard Class,Sally Hughsby,Corporate,California,Office Supplies,Envelopes,10.86,3,5.1042,13
9/18/2017,Standard Class,Sally Hughsby,Corporate,California,Office Supplies,Paper,143.7,3,68.976,13
12/22/2017,Standard Class,Sandra Glassco,Consumer,Missouri,Office Supplies,Appliances,839.43,3,218.2518,14
9/7/2015,Standard Class,Helen Andreada,Consumer,California,Office Supplies,Storage,671.93,7,20.1579,14
10/22/2014,Standard Class,Maureen Gastineau,Home Office,Ohio,Furniture,Furnishings,93.888,4,12.9096,17
12/5/2016,Standard Class,Justin Ellison,Corporate,Wisconsin,Technology,Phones,384.45,11,103.8015,14
12/5/2016,Standard Class,Justin Ellison,Corporate,Wisconsin,Technology,Phones,149.97,3,5.9988,14
12/5/2016,Standard Class,Justin Ellison,Corporate,Wisconsin,Furniture,Chairs,1951.84,8,585.552,14
12/5/2016,Standard Class,Justin Ellison,Corporate,Wisconsin,Office Supplies,Binders,171.55,5,80.6285,14
3/13/2016,First Class,Tamara Willingham,Home Office,Arizona,Office Supplies,Appliances,157.92,5,17.766,17
3/13/2016,First Class,Tamara Willingham,Home Office,Arizona,Technology,Phones,203.184,2,15.2388,17
5/31/2015,First Class,Stephanie Phelps,Corporate,California,Office Supplies,Paper,58.38,7,26.271,16
5/31/2015,First Class,Stephanie Phelps,Corporate,California,Office Supplies,Paper,105.52,4,48.5392,16
5/31/2015,First Class,Stephanie Phelps,Corporate,California,Office Supplies,Storage,80.88,6,21.0288,16
5/28/2015,Standard Class,Neil Knudson,Home Office,Washington,Office Supplies,Art,6.63,3,1.7901,12
3/1/2014,Second Class,Dave Brooks,Consumer,Washington,Furniture,Chairs,457.568,2,51.4764,11
11/20/2016,Standard Class,Nora Paige,Consumer,Oklahoma,Office Supplies,Labels,14.62,2,6.8714,10
11/20/2016,Standard Class,Nora Paige,Consumer,Oklahoma,Technology,Phones,944.93,7,236.2325,10
5/11/2016,First Class,Ted Trevino,Consumer,California,Office Supplies,Paper,5.98,1,2.691,11
12/28/2015,Second Class,Eric Murdock,Consumer,Pennsylvania,Technology,Accessories,54.384,2,1.3596,12
11/16/2016,Standard Class,Ruben Dartt,Consumer,New Mexico,Office Supplies,Envelopes,28.4,5,13.348,11
11/7/2016,Standard Class,Max Jones,Consumer,Washington,Office Supplies,Binders,27.68,2,9.688,9
9/8/2014,Standard Class,Becky Martin,Consumer,Texas,Office Supplies,Art,9.936,3,2.7324,12
9/8/2014,Standard Class,Becky Martin,Consumer,Texas,Technology,Machines,8159.952,8,-1359.992,12
9/8/2014,Standard Class,Becky Martin,Consumer,Texas,Office Supplies,Storage,275.928,3,-58.6347,12
9/8/2014,Standard Class,Becky Martin,Consumer,Texas,Furniture,Chairs,1740.06,9,-24.858,12
9/8/2014,Standard Class,Becky Martin,Consumer,Texas,Office Supplies,Art,32.064,6,6.8136,12
9/8/2014,Standard Class,Becky Martin,Consumer,Texas,Office Supplies,Appliances,177.98,5,-453.849,12
9/8/2014,Standard Class,Becky Martin,Consumer,Texas,Technology,Phones,143.976,3,8.9985,12
8/5/2014,Standard Class,Chad Sievert,Consumer,California,Office Supplies,Paper,20.94,3,9.8418,12
8/5/2014,Standard Class,Chad Sievert,Consumer,California,Office Supplies,Paper,110.96,2,53.2608,12
8/5/2014,Standard Class,Chad Sievert,Consumer,California,Furniture,Chairs,340.144,7,21.259,12
9/14/2014,Standard Class,Jennifer Braxton,Corporate,Illinois,Office Supplies,Appliances,52.448,2,-131.12,16
9/14/2014,Standard Class,Jennifer Braxton,Corporate,Illinois,Office Supplies,Labels,20.16,4,6.552,16
4/21/2017,Second Class,Shirley Jackson,Consumer,Texas,Office Supplies,Appliances,97.264,4,-243.16,15
11/21/2015,Second Class,Joel Eaton,Consumer,Ohio,Furniture,Chairs,396.802,7,-11.3372,10
11/21/2015,Second Class,Joel Eaton,Consumer,Ohio,Office Supplies,Supplies,15.88,5,-3.7715,10
12/15/2015,Standard Class,Jim Kriz,Home Office,New York,Office Supplies,Art,3.28,1,1.4104,8
12/5/2014,Second Class,David Kendrick,Corporate,Illinois,Office Supplies,Storage,24.816,2,1.8612,14
12/5/2014,Second Class,David Kendrick,Corporate,Illinois,Technology,Accessories,408.744,7,76.6395,14
11/19/2014,Second Class,Robert Marley,Home Office,Louisiana,Technology,Phones,503.96,4,131.0296,13
11/19/2014,Second Class,Robert Marley,Home Office,Louisiana,Technology,Phones,149.95,5,41.986,13
11/19/2014,Second Class,Robert Marley,Home Office,Louisiana,Technology,Accessories,29.0,2,7.25,13
11/28/2016,Standard Class,Sally Knutson,Consumer,Connecticut,Office Supplies,Binders,7.16,2,3.4368,13
8/26/2014,Standard Class,Frank Merwin,Home Office,California,Technology,Accessories,176.8,8,22.984,12
7/16/2016,Standard Class,Alice McCarthy,Corporate,Texas,Office Supplies,Storage,37.224,3,3.7224,14
7/16/2016,Standard Class,Alice McCarthy,Corporate,Texas,Office Supplies,Paper,20.016,3,6.255,14
10/12/2015,First Class,Mark Packer,Home Office,New York,Furniture,Bookcases,899.136,4,112.392,11
10/12/2015,First Class,Mark Packer,Home Office,New York,Technology,Phones,71.76,6,20.0928,11
10/12/2015,First Class,Mark Packer,Home Office,New York,Office Supplies,Paper,51.84,8,24.8832,11
10/12/2015,First Class,Mark Packer,Home Office,New York,Furniture,Bookcases,626.352,3,46.9764,11
10/12/2015,First Class,Mark Packer,Home Office,New York,Office Supplies,Art,19.9,5,6.567,11
10/31/2015,Standard Class,Mary Zewe,Corporate,California,Office Supplies,Envelopes,14.28,7,6.7116,9
3/21/2014,Standard Class,Cassandra Brandow,Consumer,Ohio,Office Supplies,Art,7.408,2,1.2038,17
3/21/2014,Standard Class,Cassandra Brandow,Consumer,Ohio,Office Supplies,Art,6.048,3,1.5876,17
11/6/2017,Standard Class,Valerie Mitchum,Home Office,New Jersey,Office Supplies,Storage,46.26,3,12.0276,15
7/6/2017,Standard Class,Fred Hopkins,Corporate,Pennsylvania,Office Supplies,Binders,2.946,2,-2.2586,12
7/6/2017,Standard Class,Fred Hopkins,Corporate,Pennsylvania,Office Supplies,Paper,16.056,3,5.8203,12
6/24/2017,Standard Class,Maria Bertelson,Consumer,Ohio,Office Supplies,Paper,21.744,3,6.795,15
8/3/2014,First Class,Bruce Stewart,Consumer,Colorado,Furniture,Tables,218.75,2,-161.875,13
8/3/2014,First Class,Bruce Stewart,Consumer,Colorado,Office Supplies,Appliances,2.6,1,0.2925,13
12/17/2017,Second Class,Logan Currie,Consumer,Texas,Office Supplies,Appliances,66.284,2,-178.9668,12
6/3/2017,Standard Class,Heather Kirkland,Corporate,Tennessee,Furniture,Furnishings,35.168,7,9.6712,16
12/9/2017,Standard Class,Laurel Elliston,Consumer,California,Technology,Phones,444.768,4,44.4768,15
12/1/2017,Standard Class,Joseph Holt,Consumer,Michigan,Office Supplies,Storage,83.92,4,5.8744,11
12/1/2017,Standard Class,Joseph Holt,Consumer,Michigan,Technology,Phones,131.98,2,35.6346,11
12/1/2017,Standard Class,Joseph Holt,Consumer,Michigan,Office Supplies,Binders,15.92,4,7.4824,11
12/1/2017,Standard Class,Joseph Holt,Consumer,Michigan,Office Supplies,Fasteners,52.29,9,16.2099,11
12/1/2017,Standard Class,Joseph Holt,Consumer,Michigan,Office Supplies,Storage,91.99,1,3.6796,11
2/9/2015,Second Class,Michael Stewart,Corporate,Texas,Technology,Accessories,20.8,2,6.5,15
1/2/2015,Standard Class,Victoria Wilson,Corporate,Ohio,Office Supplies,Labels,23.68,2,8.88,15
1/2/2015,Standard Class,Victoria Wilson,Corporate,Ohio,Furniture,Bookcases,452.45,5,-244.323,15
1/2/2015,Standard Class,Victoria Wilson,Corporate,Ohio,Technology,Phones,62.982,3,-14.6958,15
1/2/2015,Standard Class,Victoria Wilson,Corporate,Ohio,Technology,Machines,1188.0,9,-950.4,15
1/2/2015,Standard Class,Victoria Wilson,Corporate,Ohio,Technology,Accessories,89.584,2,4.4792,15
10/28/2016,Standard Class,Jonathan Howell,Consumer,California,Office Supplies,Storage,93.06,6,26.0568,15
10/28/2016,Standard Class,Jonathan Howell,Consumer,California,Technology,Phones,302.376,3,22.6782,15
12/24/2015,First Class,Joni Blumstein,Consumer,Ohio,Office Supplies,Fasteners,5.584,2,1.8148,14
12/24/2015,First Class,Joni Blumstein,Consumer,Ohio,Office Supplies,Paper,22.704,6,8.2302,14
12/24/2015,First Class,Joni Blumstein,Consumer,Ohio,Office Supplies,Binders,19.776,4,-13.8432,14
12/24/2015,First Class,Joni Blumstein,Consumer,Ohio,Furniture,Furnishings,72.704,4,19.0848,14
12/24/2015,First Class,Joni Blumstein,Consumer,Ohio,Technology,Machines,479.988,4,-383.9904,14
12/24/2015,First Class,Joni Blumstein,Consumer,Ohio,Office Supplies,Art,27.168,2,2.7168,14
8/9/2015,Standard Class,David Smith,Corporate,Michigan,Office Supplies,Art,2.2,1,0.968,11
8/9/2015,Standard Class,David Smith,Corporate,Michigan,Furniture,Tables,622.45,5,136.939,11
8/9/2015,Standard Class,David Smith,Corporate,Michigan,Office Supplies,Storage,21.98,1,0.2198,11
2/28/2015,Standard Class,Valerie Dominguez,Consumer,Tennessee,Furniture,Chairs,161.568,2,-28.2744,17
2/28/2015,Standard Class,Valerie Dominguez,Consumer,Tennessee,Furniture,Chairs,389.696,8,43.8408,17
9/13/2014,Standard Class,Erin Ashbrook,Corporate,North Carolina,Office Supplies,Binders,18.648,7,-12.432,13
4/7/2017,Standard Class,Christopher Schild,Home Office,Florida,Furniture,Tables,233.86,2,-102.048,18
4/7/2017,Standard Class,Christopher Schild,Home Office,Florida,Furniture,Tables,620.6145,3,-248.2458,18
4/7/2017,Standard Class,Christopher Schild,Home Office,Florida,Office Supplies,Binders,5.328,2,-3.552,18
4/7/2017,Standard Class,Christopher Schild,Home Office,Florida,Furniture,Furnishings,258.072,3,0.0,18
4/7/2017,Standard Class,Christopher Schild,Home Office,Florida,Technology,Accessories,617.976,3,-7.7247,18
11/12/2017,Standard Class,David Bremer,Corporate,California,Office Supplies,Paper,10.56,2,4.752,12
6/4/2016,Second Class,Ken Lonsdale,Consumer,Illinois,Office Supplies,Paper,25.92,5,9.396,12
6/4/2016,Second Class,Ken Lonsdale,Consumer,Illinois,Furniture,Furnishings,419.68,5,-356.728,12
6/4/2016,Second Class,Ken Lonsdale,Consumer,Illinois,Furniture,Furnishings,11.688,3,-4.6752,12
6/4/2016,Second Class,Ken Lonsdale,Consumer,Illinois,Technology,Phones,31.984,2,11.1944,12
6/4/2016,Second Class,Ken Lonsdale,Consumer,Illinois,Furniture,Tables,177.225,5,-120.513,12
6/4/2016,Second Class,Ken Lonsdale,Consumer,Illinois,Furniture,Furnishings,4.044,3,-2.8308,12
6/4/2016,Second Class,Ken Lonsdale,Consumer,Illinois,Office Supplies,Art,7.408,2,1.2038,12
6/1/2014,Second Class,Dianna Wilson,Home Office,Minnesota,Furniture,Chairs,2001.86,7,580.5394,13
6/1/2014,Second Class,Dianna Wilson,Home Office,Minnesota,Office Supplies,Storage,166.72,2,41.68,13
6/1/2014,Second Class,Dianna Wilson,Home Office,Minnesota,Office Supplies,Paper,47.88,6,23.94,13
6/1/2014,Second Class,Dianna Wilson,Home Office,Minnesota,Office Supplies,Appliances,1503.25,5,496.0725,13
6/1/2014,Second Class,Dianna Wilson,Home Office,Minnesota,Office Supplies,Paper,25.92,4,12.4416,13
12/10/2016,Second Class,Logan Haushalter,Consumer,California,Furniture,Chairs,321.568,2,28.1372,16
9/11/2016,Standard Class,Kelly Collister,Consumer,California,Office Supplies,Paper,7.61,1,3.5767,15
9/11/2016,Standard Class,Kelly Collister,Consumer,California,Technology,Accessories,3347.37,13,636.0003,15
12/10/2016,First Class,Delfina Latchford,Consumer,New York,Office Supplies,Storage,80.58,6,22.5624,17
12/10/2016,First Class,Delfina Latchford,Consumer,New York,Office Supplies,Envelopes,361.92,4,162.864,17
11/28/2015,Standard Class,Dan Reichenbach,Corporate,Illinois,Furniture,Furnishings,12.132,9,-8.4924,15
11/28/2015,Standard Class,Dan Reichenbach,Corporate,Illinois,Office Supplies,Storage,82.368,2,-19.5624,15
11/28/2015,Standard Class,Dan Reichenbach,Corporate,Illinois,Office Supplies,Storage,53.92,5,4.044,15
11/28/2015,Standard Class,Dan Reichenbach,Corporate,Illinois,Technology,Phones,647.904,6,56.6916,15
