order_date,ship_mode,customer_name,segment,city,state,region,category,sub-category,sales,quantity,profit
9/20/2014,Standard Class,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,-407.682
11/6/2016,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,-9.1602
11/6/2016,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,26.2416
10/13/2016,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,20.6976
9/5/2016,Second Class,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,10.35
10/22/2014,Standard Class,Maureen Gastineau,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,4,12.9096
12/5/2016,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,585.552
3/1/2014,Second Class,Dave Brooks,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,51.4764
9/8/2014,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,-24.858
8/5/2014,Standard Class,Chad Sievert,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,21.259
11/21/2015,Second Class,Joel Eaton,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,7,-11.3372
10/12/2015,First Class,Mark Packer,Home Office,New York City,New York,East,Furniture,Bookcases,899.136,4,112.392
10/12/2015,First Class,Mark Packer,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,3,46.9764
8/3/2014,First Class,Bruce Stewart,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,-161.875
6/3/2017,Standard Class,Heather Kirkland,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,7,9.6712
1/2/2015,Standard Class,Victoria Wilson,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,5,-244.323
12/24/2015,First Class,Joni Blumstein,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,4,19.0848
8/9/2015,Standard Class,David Smith,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,5,136.939
2/28/2015,Standard Class,Valerie Dominguez,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.568,2,-28.2744
2/28/2015,Standard Class,Valerie Dominguez,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.696,8,43.8408
4/7/2017,Standard Class,Christopher Schild,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,2,-102.048
4/7/2017,Standard Class,Christopher Schild,Home Office,Tampa,Florida,South,Furniture,Tables,620.6145,3,-248.2458
4/7/2017,Standard Class,Christopher Schild,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,3,0.0
6/4/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,5,-356.728
6/4/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.688,3,-4.6752
6/4/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.225,5,-120.513
6/4/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.044,3,-2.8308
6/1/2014,Second Class,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,580.5394
12/10/2016,Second Class,Logan Haushalter,Consumer,San Francisco,California,West,Furniture,Chairs,321.568,2,28.1372
11/28/2015,Standard Class,Dan Reichenbach,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.132,9,-8.4924
7/30/2015,First Class,Helen Andreada,Consumer,San Francisco,California,West,Furniture,Furnishings,5.28,3,2.3232
11/2/2015,Standard Class,Jas O'Carroll,Consumer,Los Angeles,California,West,Furniture,Tables,1038.84,5,51.942
11/20/2016,Second Class,Nick Zandusky,Home Office,Columbus,Ohio,East,Furniture,Bookcases,86.97,3,-48.7032
12/26/2014,First Class,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,300.416,8,78.8592
12/26/2014,First Class,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,Furniture,Chairs,230.352,3,20.1558
12/26/2014,First Class,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,218.352,3,-24.5646
10/28/2016,Standard Class,Jonathan Doherty,Corporate,Belleville,New Jersey,East,Furniture,Furnishings,77.6,4,38.024
11/19/2017,Standard Class,Jonathan Howell,Consumer,Chicago,Illinois,Central,Furniture,Tables,219.075,3,-131.445
5/4/2015,Second Class,Alan Schoenberger,Corporate,New York City,New York,East,Furniture,Furnishings,26.8,2,12.864
9/12/2016,Second Class,Ben Peterman,Corporate,Arvada,Colorado,West,Furniture,Furnishings,15.136,4,3.5948
9/12/2016,Second Class,Ben Peterman,Corporate,Arvada,Colorado,West,Furniture,Chairs,466.768,2,52.5114
9/12/2016,Second Class,Ben Peterman,Corporate,Arvada,Colorado,West,Furniture,Furnishings,15.232,1,1.7136
9/27/2014,Standard Class,Thomas Seio,Corporate,Hackensack,New Jersey,East,Furniture,Furnishings,87.54,3,37.6422
11/4/2014,Standard Class,Nathan Mautz,Home Office,New York City,New York,East,Furniture,Chairs,135.882,1,24.1568
11/3/2017,Second Class,Don Jones,Corporate,Murfreesboro,Tennessee,South,Furniture,Furnishings,15.992,1,0.9995
8/30/2016,First Class,Patrick O'Brill,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,786.744,4,-258.5016
7/12/2014,Standard Class,Alyssa Crouse,Corporate,San Francisco,California,West,Furniture,Tables,698.352,3,-17.4588
4/8/2016,Standard Class,Jeremy Lonsdale,Consumer,New York City,New York,East,Furniture,Bookcases,388.704,6,-4.8588
9/25/2017,Standard Class,Katrina Willman,Consumer,New York City,New York,East,Furniture,Chairs,488.646,3,86.8704
9/25/2017,Standard Class,Katrina Willman,Consumer,New York City,New York,East,Furniture,Furnishings,47.12,8,20.7328
10/21/2016,Same Day,Michael Kennedy,Corporate,Manchester,Connecticut,East,Furniture,Bookcases,1043.92,4,271.4192
8/27/2017,Standard Class,Allen Rosenblatt,Corporate,Franklin,Massachusetts,East,Furniture,Tables,1488.424,7,-297.6848
11/27/2015,Standard Class,Denny Ordway,Consumer,Pembroke Pines,Florida,South,Furniture,Tables,375.4575,3,-157.0095
12/3/2015,Standard Class,Dean Katz,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,2.96,1,0.777
9/8/2016,Second Class,Anna Gayman,Consumer,Houston,Texas,Central,Furniture,Bookcases,2396.2656,4,-317.1528
12/8/2017,Standard Class,Keith Herrera,Consumer,San Francisco,California,West,Furniture,Tables,1004.024,7,-112.9527
12/8/2017,Standard Class,Keith Herrera,Consumer,San Francisco,California,West,Furniture,Bookcases,1336.829,13,31.4548
12/8/2017,Standard Class,Keith Herrera,Consumer,San Francisco,California,West,Furniture,Chairs,113.568,2,-18.4548
11/3/2017,Standard Class,Kimberly Carter,Corporate,Seattle,Washington,West,Furniture,Chairs,307.136,4,26.8744
4/14/2016,Standard Class,Philip Brown,Consumer,Los Angeles,California,West,Furniture,Chairs,383.8,5,38.38
10/19/2017,Standard Class,Michael Paige,Corporate,Lawrence,Massachusetts,East,Furniture,Furnishings,56.56,4,14.7056
8/21/2017,Second Class,Natalie Fritzler,Consumer,Jackson,Mississippi,South,Furniture,Chairs,866.4,4,225.264
11/23/2017,Second Class,Janet Molinari,Corporate,Canton,Michigan,Central,Furniture,Furnishings,28.4,2,11.076
1/20/2017,Second Class,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Chairs,207.846,3,2.3094
9/5/2016,Second Class,Pete Kriz,Consumer,Detroit,Michigan,Central,Furniture,Furnishings,12.22,1,3.666
9/5/2016,Second Class,Pete Kriz,Consumer,Detroit,Michigan,Central,Furniture,Chairs,242.94,3,29.1528
3/20/2017,Second Class,Troy Blackwell,Consumer,Columbus,Indiana,Central,Furniture,Furnishings,2.91,1,1.3677
10/20/2017,Standard Class,Ed Braxton,Corporate,Akron,Ohio,East,Furniture,Tables,284.364,2,-75.8304
2/12/2014,Standard Class,Sanjit Chand,Consumer,Concord,California,West,Furniture,Chairs,129.568,2,-24.294
9/26/2016,Standard Class,Natalie Fritzler,Consumer,Decatur,Illinois,Central,Furniture,Chairs,747.558,3,-96.1146
4/22/2016,Standard Class,Tanja Norvell,Home Office,Phoenix,Arizona,West,Furniture,Furnishings,23.56,5,7.068
4/22/2016,Standard Class,Tanja Norvell,Home Office,Phoenix,Arizona,West,Furniture,Tables,1272.63,6,-814.4832
1/17/2015,Standard Class,Joni Sundaresam,Home Office,Park Ridge,Illinois,Central,Furniture,Furnishings,254.744,7,-312.0614
3/31/2017,Standard Class,David Smith,Corporate,Amarillo,Texas,Central,Furniture,Bookcases,205.3328,2,-36.2352
11/9/2014,Second Class,Jeremy Pistek,Consumer,San Francisco,California,West,Furniture,Bookcases,222.666,2,10.4784
10/27/2016,Standard Class,Jeremy Ellison,Consumer,Troy,New York,East,Furniture,Furnishings,40.2,3,19.296
6/10/2017,First Class,Michelle Tran,Home Office,Los Angeles,California,West,Furniture,Bookcases,514.165,5,-30.245
3/18/2016,Second Class,Rose O'Brian,Consumer,Memphis,Tennessee,South,Furniture,Tables,189.882,3,-94.941
7/25/2016,Standard Class,Sanjit Chand,Consumer,Costa Mesa,California,West,Furniture,Furnishings,255.76,4,81.8432
7/25/2016,Standard Class,Sanjit Chand,Consumer,Costa Mesa,California,West,Furniture,Chairs,241.568,2,18.1176
7/25/2016,Standard Class,Sanjit Chand,Consumer,Costa Mesa,California,West,Furniture,Furnishings,69.3,9,22.869
5/30/2016,Standard Class,Maribeth Yedwab,Corporate,Parker,Colorado,West,Furniture,Chairs,801.568,2,50.098
11/26/2017,First Class,Lynn Smith,Consumer,Gladstone,Missouri,Central,Furniture,Furnishings,126.3,3,40.416
1/23/2017,First Class,Matt Connell,Corporate,Detroit,Michigan,Central,Furniture,Tables,210.98,2,21.098
10/21/2017,Standard Class,Patricia Hirasaki,Home Office,Lakeland,Florida,South,Furniture,Chairs,683.952,3,42.747
10/21/2017,Standard Class,Patricia Hirasaki,Home Office,Lakeland,Florida,South,Furniture,Furnishings,45.696,3,5.1408
11/7/2015,Second Class,Karen Bern,Corporate,Los Angeles,California,West,Furniture,Chairs,190.72,1,11.92
9/7/2017,Standard Class,Jasper Cacioppo,Consumer,Los Angeles,California,West,Furniture,Furnishings,47.94,3,2.397
12/7/2015,Standard Class,Darren Koutras,Consumer,Henderson,Kentucky,South,Furniture,Chairs,283.92,4,70.98
5/11/2014,Standard Class,Paul Gonzalez,Consumer,Fort Worth,Texas,Central,Furniture,Furnishings,66.112,4,-84.2928
4/15/2016,Second Class,Bill Donatelli,Consumer,San Francisco,California,West,Furniture,Chairs,1121.568,2,0.0
9/11/2017,First Class,Ryan Crowe,Consumer,Jacksonville,Florida,South,Furniture,Furnishings,34.504,1,6.0382
6/10/2016,Standard Class,Olvera Toch,Consumer,Los Angeles,California,West,Furniture,Tables,1335.68,4,-217.048
11/20/2017,Second Class,Liz Pelletier,Consumer,San Francisco,California,West,Furniture,Furnishings,42.6,3,16.614
9/14/2014,Second Class,Cynthia Arntzen,Consumer,Tampa,Florida,South,Furniture,Furnishings,13.128,3,3.7743
10/1/2017,Standard Class,Ellis Ballard,Corporate,Seattle,Washington,West,Furniture,Chairs,451.152,3,0.0
7/20/2017,Standard Class,Carlos Soltero,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,8.792,1,-5.7148
7/3/2015,Standard Class,Bruce Degenhardt,Consumer,Richmond,Kentucky,South,Furniture,Chairs,70.98,1,4.9686
8/8/2014,Standard Class,Lena Radford,Consumer,San Diego,California,West,Furniture,Furnishings,327.76,8,91.7728
3/15/2014,Standard Class,Alan Shonely,Consumer,Tampa,Florida,South,Furniture,Furnishings,45.696,3,5.1408
8/18/2017,Second Class,Nat Gilpin,Corporate,New York City,New York,East,Furniture,Furnishings,40.48,2,15.7872
8/18/2017,Second Class,Nat Gilpin,Corporate,New York City,New York,East,Furniture,Furnishings,9.94,2,3.0814
8/18/2017,Second Class,Nat Gilpin,Corporate,New York City,New York,East,Furniture,Furnishings,88.02,3,27.2862
11/29/2015,Standard Class,Sylvia Foulston,Corporate,Dearborn,Michigan,Central,Furniture,Chairs,301.96,2,87.5684
9/15/2017,Standard Class,Meg O'Connel,Home Office,New York City,New York,East,Furniture,Furnishings,35.56,7,12.0904
10/4/2015,Second Class,Denny Joy,Corporate,Warner Robins,Georgia,South,Furniture,Chairs,392.94,3,43.2234
5/20/2016,Standard Class,Rick Bensley,Home Office,Vallejo,California,West,Furniture,Furnishings,1049.2,5,272.792
12/18/2016,Standard Class,Justin Deggeller,Corporate,Minneapolis,Minnesota,Central,Furniture,Furnishings,18.84,3,6.0288
12/11/2016,Second Class,Anthony Rawles,Corporate,Vancouver,Washington,West,Furniture,Furnishings,14.8,4,6.068
9/19/2016,Same Day,Eugene Hildebrand,Home Office,Aurora,Illinois,Central,Furniture,Chairs,701.372,2,-50.098
8/24/2015,Standard Class,Cassandra Brandow,Consumer,Arlington,Texas,Central,Furniture,Tables,918.785,5,-118.1295
12/24/2014,First Class,Resi Pölking,Consumer,Cleveland,Ohio,East,Furniture,Furnishings,30.36,5,8.7285
6/9/2017,Standard Class,Meg O'Connel,Home Office,Chicago,Illinois,Central,Furniture,Furnishings,23.976,3,-14.3856
6/9/2017,Standard Class,Meg O'Connel,Home Office,Chicago,Illinois,Central,Furniture,Tables,108.925,1,-71.8905
3/18/2017,Standard Class,Carol Darley,Consumer,Tyler,Texas,Central,Furniture,Furnishings,82.524,3,-41.262
12/25/2017,Standard Class,Ralph Arnett,Consumer,New York City,New York,East,Furniture,Bookcases,191.984,2,4.7996
6/21/2014,Second Class,Naresj Patel,Consumer,Waynesboro,Virginia,South,Furniture,Furnishings,104.01,1,14.5614
9/2/2017,Standard Class,Dorris liebe,Corporate,Cleveland,Ohio,East,Furniture,Furnishings,15.072,3,4.1448
11/4/2016,Second Class,Alejandro Savely,Corporate,Seattle,Washington,West,Furniture,Furnishings,209.88,3,35.6796
4/9/2015,Standard Class,Jay Kimmel,Consumer,Long Beach,California,West,Furniture,Tables,369.912,3,-13.8717
12/2/2014,First Class,David Philippe,Consumer,New York City,New York,East,Furniture,Bookcases,883.92,5,-110.49
1/11/2014,First Class,Seth Vernon,Consumer,Dover,Delaware,East,Furniture,Furnishings,9.94,2,3.0814
9/24/2017,Standard Class,Kelly Collister,Consumer,Newark,Ohio,East,Furniture,Furnishings,103.056,3,24.4758
6/2/2014,Standard Class,Christine Kargatis,Home Office,Orem,Utah,West,Furniture,Furnishings,73.32,6,21.996
12/15/2016,Standard Class,Michael Paige,Corporate,Detroit,Michigan,Central,Furniture,Tables,1652.94,3,231.4116
10/7/2014,Standard Class,Mathew Reese,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,129.92,5,21.112
12/3/2016,First Class,Emily Grady,Consumer,Oceanside,New York,East,Furniture,Tables,400.032,2,-153.3456
12/3/2016,First Class,Emily Grady,Consumer,Oceanside,New York,East,Furniture,Chairs,542.646,3,102.4998
1/21/2017,Standard Class,Darrin Sayre,Home Office,Seattle,Washington,West,Furniture,Bookcases,84.98,1,18.6956
5/27/2014,Same Day,Maya Herman,Corporate,San Diego,California,West,Furniture,Tables,567.12,10,-28.356
10/2/2017,Standard Class,Roland Fjeld,Consumer,Trenton,Michigan,Central,Furniture,Furnishings,157.74,11,56.7864
12/7/2015,Standard Class,Melanie Seite,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.92,4,28.7712
9/18/2016,Standard Class,Nona Balk,Corporate,Jacksonville,Florida,South,Furniture,Tables,383.438,4,-167.3184
5/14/2014,Standard Class,Anthony Johnson,Corporate,Saint Petersburg,Florida,South,Furniture,Furnishings,310.88,2,23.316
5/19/2016,Standard Class,Laurel Elliston,Consumer,Arlington,Virginia,South,Furniture,Chairs,641.96,2,179.7488
1/30/2017,Standard Class,Benjamin Venier,Corporate,Des Moines,Iowa,Central,Furniture,Furnishings,34.58,7,14.5236
8/21/2015,First Class,Nick Zandusky,Home Office,San Francisco,California,West,Furniture,Chairs,544.008,3,40.8006
10/3/2015,Second Class,Bryan Mills,Consumer,Columbus,Ohio,East,Furniture,Bookcases,35.49,1,-15.6156
12/12/2015,Standard Class,Liz Thompson,Consumer,Lancaster,California,West,Furniture,Chairs,348.928,2,34.8928
6/26/2015,Standard Class,Sue Ann Reed,Consumer,Richmond,Virginia,South,Furniture,Chairs,332.94,3,79.9056
11/27/2015,Standard Class,Carlos Daly,Consumer,Lake Elsinore,California,West,Furniture,Chairs,283.92,5,17.745
2/20/2017,First Class,Helen Wasserman,Corporate,San Diego,California,West,Furniture,Furnishings,22.23,1,7.3359
4/22/2017,First Class,Gary McGarr,Consumer,San Francisco,California,West,Furniture,Furnishings,18.28,2,6.2152
2/3/2015,First Class,Allen Armold,Consumer,Omaha,Nebraska,Central,Furniture,Furnishings,28.4,2,11.076
10/13/2014,First Class,Zuschuss Carroll,Consumer,Edmonds,Washington,West,Furniture,Tables,1298.55,5,311.652
5/14/2017,Same Day,Pauline Johnson,Consumer,Santa Ana,California,West,Furniture,Furnishings,18.28,2,6.2152
6/28/2014,Standard Class,Cynthia Arntzen,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,1228.465,5,0.0
6/16/2017,Second Class,Joel Eaton,Consumer,Florence,Kentucky,South,Furniture,Chairs,301.96,2,90.588
11/20/2015,Standard Class,Brian Moss,Corporate,New York City,New York,East,Furniture,Bookcases,186.048,4,9.3024
10/13/2015,Standard Class,Art Foster,Consumer,Louisville,Kentucky,South,Furniture,Chairs,287.94,3,77.7438
1/1/2017,Standard Class,Guy Armstrong,Consumer,Lorain,Ohio,East,Furniture,Furnishings,48.896,4,8.5568
2/19/2016,Standard Class,Greg Tran,Consumer,New York City,New York,East,Furniture,Furnishings,44.46,2,14.6718
1/10/2014,Standard Class,Anthony Jacobs,Corporate,Springfield,Virginia,South,Furniture,Furnishings,51.94,1,21.2954
1/17/2016,Standard Class,Chuck Clark,Home Office,Concord,New Hampshire,East,Furniture,Furnishings,322.59,3,64.518
11/30/2017,Second Class,Harold Pawlan,Home Office,New York City,New York,East,Furniture,Chairs,1242.9,5,262.39
10/22/2016,First Class,Peter McVee,Home Office,Detroit,Michigan,Central,Furniture,Furnishings,31.4,5,10.048
4/29/2014,Standard Class,Lauren Leatherbury,Consumer,Rochester,New York,East,Furniture,Furnishings,17.46,2,5.9364
12/30/2017,Standard Class,Patrick O'Donnell,Consumer,New York City,New York,East,Furniture,Bookcases,323.136,4,12.1176
5/31/2015,Standard Class,Sample Company A,Home Office,Norwich,Connecticut,East,Furniture,Furnishings,22.2,6,9.102
11/27/2017,First Class,Brian Moss,Corporate,Milwaukee,Wisconsin,Central,Furniture,Furnishings,46.94,1,19.2454
6/15/2014,Standard Class,Kelly Lampkin,Corporate,San Antonio,Texas,Central,Furniture,Tables,99.918,2,-18.5562
6/15/2014,Standard Class,Kelly Lampkin,Corporate,San Antonio,Texas,Central,Furniture,Chairs,797.944,4,-56.996
12/13/2016,Standard Class,Rob Williams,Corporate,Torrance,California,West,Furniture,Tables,1114.272,4,41.7852
7/26/2015,First Class,Cynthia Arntzen,Consumer,Mesa,Arizona,West,Furniture,Tables,393.165,3,-204.4458
11/28/2017,Standard Class,Ross Baird,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,516.488,7,-12.9122
11/28/2017,Standard Class,Ross Baird,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,1007.232,6,75.5424
11/28/2017,Standard Class,Ross Baird,Home Office,Philadelphia,Pennsylvania,East,Furniture,Tables,2065.32,12,-619.596
4/3/2017,Standard Class,Katherine Hughes,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,25.472,4,7.6416
12/28/2017,Standard Class,Greg Hansen,Consumer,Round Rock,Texas,Central,Furniture,Bookcases,78.8528,2,-11.596
9/22/2015,Same Day,Daniel Lacy,Consumer,Oceanside,California,West,Furniture,Furnishings,204.6,2,53.196
11/14/2017,Standard Class,Lindsay Williams,Corporate,San Francisco,California,West,Furniture,Chairs,321.568,2,28.1372
1/16/2014,Second Class,Delfina Latchford,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,127.104,6,28.5984
10/3/2016,Standard Class,Emily Burns,Consumer,New York City,New York,East,Furniture,Chairs,599.292,6,93.2232
11/11/2014,Second Class,Tracy Zic,Consumer,Louisville,Colorado,West,Furniture,Chairs,603.92,5,75.49
5/21/2017,Standard Class,John Grady,Corporate,Auburn,New York,East,Furniture,Furnishings,520.05,5,72.807
3/29/2015,Second Class,Sara Luxemburg,Home Office,Jacksonville,Florida,South,Furniture,Chairs,1166.92,5,131.2785
10/28/2015,Standard Class,Rob Dowd,Consumer,Henderson,Kentucky,South,Furniture,Furnishings,24.1,5,9.158
10/28/2015,Standard Class,Rob Dowd,Consumer,Henderson,Kentucky,South,Furniture,Furnishings,33.11,7,12.9129
7/31/2015,Same Day,Rick Hansen,Consumer,New York City,New York,East,Furniture,Tables,1090.782,7,-290.8752
11/24/2014,First Class,Vivek Gonzalez,Consumer,San Diego,California,West,Furniture,Furnishings,151.72,4,27.3096
6/17/2017,Second Class,Philip Fox,Consumer,Olympia,Washington,West,Furniture,Furnishings,155.25,3,46.575
12/21/2015,Second Class,John Stevenson,Consumer,Seattle,Washington,West,Furniture,Tables,1618.37,13,356.0414
7/6/2015,Standard Class,Kalyca Meade,Corporate,New York City,New York,East,Furniture,Furnishings,13.96,2,6.7008
7/6/2015,Standard Class,Kalyca Meade,Corporate,New York City,New York,East,Furniture,Furnishings,155.82,3,63.8862
4/27/2015,Standard Class,Greg Tran,Consumer,Washington,District of Columbia,East,Furniture,Chairs,1267.53,3,316.8825
7/11/2014,Standard Class,Laura Armstrong,Corporate,Hackensack,New Jersey,East,Furniture,Chairs,854.94,3,213.735
7/11/2014,Standard Class,Laura Armstrong,Corporate,Hackensack,New Jersey,East,Furniture,Furnishings,124.11,9,52.1262
4/22/2016,Standard Class,Ed Ludwig,Home Office,Jefferson City,Missouri,Central,Furniture,Furnishings,86.62,2,8.662
3/20/2016,Standard Class,Robert Dilbeck,Home Office,Saint Peters,Missouri,Central,Furniture,Tables,697.16,4,146.4036
9/6/2016,Second Class,Mary O'Rourke,Consumer,New York City,New York,East,Furniture,Bookcases,722.352,3,90.294
10/12/2017,Standard Class,Steve Nguyen,Home Office,Rockford,Illinois,Central,Furniture,Chairs,254.604,14,-18.186
3/8/2016,Standard Class,Zuschuss Carroll,Consumer,Miami,Florida,South,Furniture,Furnishings,102.36,3,-3.8385
7/3/2015,First Class,Deirdre Greer,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,168.464,2,-29.4812
7/3/2015,First Class,Deirdre Greer,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,282.888,9,56.5776
4/4/2015,Standard Class,Nicole Fjeld,Home Office,New York City,New York,East,Furniture,Furnishings,108.4,2,22.764
3/23/2015,Standard Class,Julia Dunbar,Consumer,Houston,Texas,Central,Furniture,Chairs,107.772,2,-29.2524
10/1/2016,First Class,Brian DeCherney,Consumer,San Francisco,California,West,Furniture,Chairs,194.848,4,12.178
11/29/2015,Standard Class,Bill Tyler,Corporate,Detroit,Michigan,Central,Furniture,Chairs,1106.91,9,121.7601
3/1/2016,Standard Class,Karen Daniels,Consumer,Yonkers,New York,East,Furniture,Tables,836.592,8,-264.9208
6/4/2017,Standard Class,Lindsay Williams,Corporate,Monroe,North Carolina,South,Furniture,Furnishings,31.984,2,1.999
6/25/2014,First Class,Noel Staavos,Corporate,Los Angeles,California,West,Furniture,Tables,447.84,5,11.196
6/14/2016,First Class,Paul Van Hugh,Home Office,San Francisco,California,West,Furniture,Furnishings,8.73,3,4.1031
11/19/2016,Standard Class,Eric Hoffmann,Consumer,Houston,Texas,Central,Furniture,Furnishings,2.328,2,-0.7566
12/18/2017,Second Class,Russell Applegate,Consumer,Encinitas,California,West,Furniture,Bookcases,119.833,1,-12.6882
